Simulacion,Generacion,Mejor Fitness,Fitness Promedio
4,0,8520.0,8520.0
4,1,8765.0,8525.38
4,2,8765.0,8529.4
4,3,8765.0,8534.04
4,4,8775.0,8538.08
4,5,8775.0,8539.28
4,6,9646.0,8567.24
4,7,9646.0,8566.56
4,8,9646.0,8588.86
4,9,9646.0,8592.32
4,10,9882.0,8621.02
4,11,9882.0,8618.54
4,12,9882.0,8632.44
4,13,9882.0,8631.36
4,14,9882.0,8624.54
4,15,9882.0,8638.44
4,16,9882.0,8652.44
4,17,9882.0,8641.62
4,18,9882.0,8646.22
4,19,9882.0,8641.0
4,20,9882.0,8644.7
4,21,9882.0,8661.46
4,22,9882.0,8692.8
4,23,9882.0,8658.04
4,24,9882.0,8689.38
4,25,9882.0,8710.7
4,26,9882.0,8688.44
4,27,9882.0,8706.28
4,28,9882.0,8698.3
4,29,9885.0,8699.52
4,30,9885.0,8684.34
4,31,9885.0,8720.74
4,32,9885.0,8695.64
4,33,9885.0,8704.04
4,34,9885.0,8696.78
4,35,9885.0,8695.56
4,36,9885.0,8716.9
4,37,9971.0,8750.96
4,38,9971.0,8736.12
4,39,9971.0,8747.04
4,40,9971.0,8730.78
4,41,9971.0,8713.56
4,42,9980.0,8756.42
4,43,9980.0,8741.52
4,44,9980.0,8734.26
4,45,9980.0,8765.16
4,46,9980.0,8756.9
4,47,9980.0,8799.72
4,48,9980.0,8724.38
4,49,9980.0,8759.6
