Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8520.0,8520.0
1,1,8533.0,8520.78
1,2,8534.0,8523.78
1,3,8534.0,8527.94
1,4,8534.0,8528.72
1,5,8534.0,8531.1
1,6,8534.0,8530.72
1,7,8773.0,8536.06
1,8,8773.0,8536.607843137255
1,9,8774.0,8541.6
1,10,8774.0,8556.16
1,11,8775.0,8564.44
1,12,8778.0,8581.56
1,13,8780.0,8594.12
1,14,8780.0,8579.2
1,15,8780.0,8615.86
1,16,8780.0,8584.98
1,17,8780.0,8579.3
1,18,8780.0,8599.4
1,19,8780.0,8584.666666666666
1,20,8781.0,8597.134615384615
1,21,8960.0,8594.941176470587
1,22,8960.0,8617.411764705883
1,23,8960.0,8623.725490196079
1,24,8960.0,8620.980392156862
1,25,8983.0,8621.529411764706
1,26,8983.0,8630.38
1,27,8983.0,8632.392156862745
1,28,9571.0,8636.8
1,29,9571.0,8646.509803921568
1,30,9571.0,8640.134615384615
1,31,9571.0,8648.058823529413
1,32,9571.0,8661.549019607843
1,33,9571.0,8671.081632653062
1,34,9571.0,8656.803921568628
1,35,9571.0,8667.632653061224
1,36,9571.0,8685.58
1,37,9571.0,8725.84
1,38,9571.0,8711.16
1,39,9571.0,8712.68
1,40,9571.0,8704.6
1,41,9571.0,8698.18
1,42,9571.0,8726.2
1,43,9571.0,8688.64
1,44,9571.0,8734.94
1,45,9571.0,8746.04
1,46,9571.0,8751.7
1,47,9571.0,8727.62
1,48,9571.0,8747.18
1,49,9571.0,8740.3
