Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8509.806723944843,8509.806723944843
1,1,8524.516011608393,8510.163622497696
1,2,8580.334546451171,8514.864542141839
1,3,8580.334546451171,8522.275404498594
1,4,8595.28472635911,8523.82254827499
1,5,8711.021722448357,8530.659479275404
1,6,8711.021722448357,8529.878062813903
1,7,9254.317762046057,8567.12029505822
1,8,9254.317762046057,8600.623356926642
1,9,9254.317762046057,8585.462775377904
1,10,9254.317762046057,8589.586355848449
1,11,9254.317762046057,8609.90993600965
1,12,9984.347524157502,8619.133577766128
1,13,9984.347524157502,8637.582146573644
1,14,9984.347524157502,8667.005868367733
1,15,9984.347524157502,8664.304845749868
1,16,9984.347524157502,8667.469826517334
1,17,9984.347524157502,8656.920376552886
1,18,9984.347524157502,8711.52228863295
1,19,9984.347524157502,8704.338174083034
1,20,9984.347524157502,8716.792948286668
1,21,9984.347524157502,8717.212393854079
1,22,9984.347524157502,8735.52635448014
1,23,9984.347524157502,8759.038032218043
1,24,9984.347524157502,8739.245396473527
1,25,9984.347524157502,8754.268513857747
1,26,9984.347524157502,8773.662283570957
1,27,9984.347524157502,8768.59255544672
1,28,9984.347524157502,8807.758986692685
1,29,9984.347524157502,8783.092606602217
