simulacion,generacion,genome_id,fitness
3,1,50,8346.0
3,1,49,8346.0
3,1,48,8346.0
3,1,47,8346.0
3,1,46,8346.0
3,1,45,8346.0
3,1,44,8346.0
3,1,43,8346.0
3,1,42,8346.0
3,1,41,8346.0
3,1,40,8346.0
3,1,39,8346.0
3,1,38,8346.0
3,1,37,8346.0
3,1,36,8346.0
3,1,35,8346.0
3,1,34,8346.0
3,1,33,8346.0
3,1,32,8346.0
3,1,31,8346.0
3,1,30,8346.0
3,1,29,8346.0
3,1,28,8346.0
3,1,27,8346.0
3,1,26,8346.0
3,1,25,8346.0
3,1,24,8346.0
3,1,23,8346.0
3,1,22,8346.0
3,1,21,8346.0
3,1,20,8346.0
3,1,19,8346.0
3,1,18,8346.0
3,1,17,8346.0
3,1,16,8346.0
3,1,15,8346.0
3,1,14,8346.0
3,1,13,8346.0
3,1,12,8346.0
3,1,11,8346.0
3,1,10,8346.0
3,1,9,8346.0
3,1,8,8346.0
3,1,7,8346.0
3,1,6,8346.0
3,1,5,8346.0
3,1,4,8346.0
3,1,3,8346.0
3,1,2,8346.0
3,1,1,8346.0
3,2,90,8346.0
3,2,89,8346.0
3,2,87,8344.0
3,2,46,8346.0
3,2,44,8346.0
3,2,42,8346.0
3,2,41,8346.0
3,2,38,8346.0
3,2,85,8346.0
3,2,84,8346.0
3,2,83,8346.0
3,2,82,8346.0
3,2,81,8346.0
3,2,80,8346.0
3,2,79,8346.0
3,2,78,8346.0
3,2,77,8346.0
3,2,76,8346.0
3,2,75,8346.0
3,2,74,8346.0
3,2,73,8346.0
3,2,72,8346.0
3,2,71,8346.0
3,2,70,8346.0
3,2,69,8344.0
3,2,68,8346.0
3,2,67,8346.0
3,2,66,8346.0
3,2,65,8346.0
3,2,64,8346.0
3,2,63,8346.0
3,2,62,8346.0
3,2,61,8346.0
3,2,60,8346.0
3,2,59,8346.0
3,2,58,8346.0
3,2,56,8346.0
3,2,55,8346.0
3,2,54,8346.0
3,2,53,8346.0
3,2,52,8344.0
3,2,51,8346.0
3,2,5,8346.0
3,2,4,8346.0
3,2,3,8346.0
3,2,2,8346.0
3,2,1,8346.0
3,2,86,8375.0
3,2,57,8387.0
3,2,88,8393.0
3,3,130,8346.0
3,3,129,8346.0
3,3,128,8346.0
3,3,127,8346.0
3,3,126,8346.0
3,3,125,8346.0
3,3,124,8346.0
3,3,123,8345.0
3,3,122,8346.0
3,3,121,8346.0
3,3,120,8346.0
3,3,119,8344.0
3,3,118,8345.0
3,3,117,8346.0
3,3,116,8346.0
3,3,115,8346.0
3,3,114,8345.0
3,3,42,8346.0
3,3,41,8346.0
3,3,3,8346.0
3,3,38,8346.0
3,3,113,8346.0
3,3,112,8346.0
3,3,110,8346.0
3,3,109,8346.0
3,3,107,8346.0
3,3,106,8344.0
3,3,104,8346.0
3,3,102,8346.0
3,3,101,8346.0
3,3,100,8346.0
3,3,99,8346.0
3,3,97,8346.0
3,3,96,8346.0
3,3,95,8346.0
3,3,94,8344.0
3,3,92,8346.0
3,3,4,8346.0
3,3,2,8346.0
3,3,1,8346.0
3,3,98,8351.0
3,3,108,8375.0
3,3,105,8375.0
3,3,93,8375.0
3,3,91,8375.0
3,3,86,8375.0
3,3,103,8381.0
3,3,57,8387.0
3,3,88,8393.0
3,3,111,8403.0
3,4,169,8346.0
3,4,167,8344.0
3,4,165,8344.0
3,4,142,8346.0
3,4,141,8346.0
3,4,140,8346.0
3,4,139,8346.0
3,4,138,8346.0
3,4,136,8346.0
3,4,134,8346.0
3,4,133,8346.0
3,4,129,8346.0
3,4,3,8346.0
3,4,128,8346.0
3,4,38,8346.0
3,4,155,8362.0
3,4,170,8376.0
3,4,166,8375.0
3,4,157,8375.0
3,4,156,8376.0
3,4,153,8376.0
3,4,149,8375.0
3,4,148,8375.0
3,4,145,8375.0
3,4,144,8375.0
3,4,91,8375.0
3,4,86,8375.0
3,4,137,8376.0
3,4,135,8375.0
3,4,132,8375.0
3,4,131,8375.0
3,4,158,8381.0
3,4,154,8380.0
3,4,103,8381.0
3,4,161,8387.0
3,4,160,8387.0
3,4,152,8387.0
3,4,147,8388.0
3,4,57,8387.0
3,4,164,8392.0
3,4,163,8392.0
3,4,150,8391.0
3,4,143,8393.0
3,4,88,8393.0
3,4,151,8379.0
3,4,159,8403.0
3,4,168,8430.0
3,4,111,8403.0
3,4,162,8489.0
3,4,146,8330.0
3,5,209,8346.0
3,5,208,8345.0
3,5,202,8344.0
3,5,200,8344.0
3,5,199,8345.0
3,5,198,8345.0
3,5,197,8344.0
3,5,193,8346.0
3,5,188,8344.0
3,5,181,8345.0
3,5,174,8357.0
3,5,210,8375.0
3,5,207,8375.0
3,5,192,8375.0
3,5,186,8376.0
3,5,185,8375.0
3,5,182,8375.0
3,5,180,8375.0
