Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8346.0,8346.0
1,1,8437.0,8349.82
1,2,8437.0,8359.88
1,3,8476.0,8391.26
1,4,8506.0,8397.74
1,5,8506.0,8385.1
1,6,8506.0,8393.04
1,7,8616.0,8407.44
1,8,9216.0,8426.38
1,9,9216.0,8417.5
1,10,9216.0,8437.94
1,11,9216.0,8447.88
1,12,9216.0,8441.04
1,13,9216.0,8452.16
1,14,9216.0,8459.44
1,15,9216.0,8453.52
1,16,9216.0,8464.9
1,17,9216.0,8489.18
1,18,9216.0,8469.58
1,19,9216.0,8481.5
1,20,9216.0,8478.18
1,21,9216.0,8494.98
1,22,9603.0,8517.70588235294
1,23,9603.0,8514.29411764706
1,24,9631.0,8552.980392156862
1,25,9987.0,8576.74
1,26,9987.0,8578.9
1,27,9987.0,8650.88
1,28,9987.0,8625.16
1,29,9987.0,8598.274509803921
