Simulacion,Generacion,Mejor Fitness,Fitness Promedio
1,0,8346.0,8346.0
1,1,8388.0,8348.14
1,2,8636.0,8364.78
1,3,8684.0,8405.5
1,4,8684.0,8403.9
1,5,8684.0,8406.46
1,6,8684.0,8426.82
1,7,8684.0,8425.1
1,8,8684.0,8438.64
1,9,8684.0,8430.57142857143
1,10,8800.0,8439.44
1,11,8803.0,8468.74
1,12,8803.0,8451.18
1,13,8803.0,8436.70588235294
1,14,8803.0,8472.70588235294
1,15,9044.0,8490.21568627451
1,16,9044.0,8504.607843137255
1,17,9044.0,8500.54
1,18,9044.0,8492.489795918367
1,19,9044.0,8534.44
1,20,9044.0,8532.32
1,21,9044.0,8517.450980392157
1,22,9044.0,8528.725490196079
1,23,9044.0,8540.019607843138
1,24,9044.0,8534.244897959185
1,25,9044.0,8561.285714285714
1,26,9044.0,8534.94
1,27,9044.0,8541.137254901962
1,28,9044.0,8532.42857142857
1,29,9044.0,8527.115384615385
1,30,9044.0,8549.134615384615
1,31,9044.0,8489.803921568628
1,32,9232.0,8530.82
1,33,9232.0,8537.938775510203
1,34,9232.0,8549.607843137255
1,35,9232.0,8575.0
1,36,9232.0,8548.627450980392
1,37,9232.0,8534.86
1,38,9232.0,8534.055555555555
1,39,9232.0,8521.607843137255
1,40,9232.0,8560.32
1,41,9232.0,8534.52
1,42,9232.0,8532.54
1,43,9232.0,8546.326530612245
1,44,9232.0,8531.64705882353
1,45,9232.0,8511.692307692309
1,46,9232.0,8537.588235294117
1,47,9232.0,8531.35294117647
1,48,9890.0,8574.04
1,49,9890.0,8602.92
